id,family,type,major
0,Other,unknown,False
1,Edge,browser,True
2,Chrome,browser,True
3,Mobile Safari,browser,True
4,Firefox,browser,True
5,AHC,bot,False
6,ActionExtension,unknown,False
7,AdsBot-Google,bot,False
8,Aloha,unknown,False
9,Chrome Mobile WebView,browser,True
10,Android,browser,False
11,Apache-CXF,programmatic,True
12,Apache-HttpClient,programmatic,True
13,AppEngine-Google,programmatic,False
14,ArchiveTeam ArchiveBot,bot,False
15,AwarioSmartBot,bot,False
16,Axel,programmatic,False
17,Baiduspider,bot,False
18,BrightEdge Crawler,bot,False
19,CCBot,bot,False
20,Googlebot,bot,False
21,Client,unknown,False
22,DingTalkBot,bot,False
23,Download%20Shuttle,unknown,False
24,DuckDuckBot,bot,False
25,Python-urllib,programmatic,True
26,WhatsApp,browser,False
27,Go-http-client,programmatic,True
28,curl,programmatic,True
29,Hammel,unknown,False
30,DuckDuckGo Mobile,browser,True
31,com/bot,bot,False
32,InDigestion,unknown,False
33,Mobile Safari UI/WKWebView,browser,False
34,Java,programmatic,True
35,Jersey,unknown,False
36,KakaoTalk%20Share%20Extension,unknown,False
37,libwww-perl,programmatic,True
38,LinkedInBot,bot,False
39,Lynx,browser,False
40,QQ Browser Mobile,browser,True
41,Sogou web spider,bot,False
42,Mattermost-Bot,bot,False
43,Word,unknown,False
44,Outlook,browser,False
45,IE,browser,True
46,Safari,browser,True
47,Baiduspider-render,bot,False
48,Opera,browser,True
49,MyIE2,unknown,False
50,AOL,browser,False
51,QQ Browser,browser,True
52,Lunascape,unknown,False
53,Chrome Frame,browser,False
54,Firefox Mobile,browser,True
55,BlackBerry WebKit,browser,False
56,Chrome Mobile,browser,True
57,Opera Mobile,browser,False
58,Edge Mobile,browser,False
59,Phantom,programmatic,False
60,LINE,browser,False
61,Facebook,bot,False
62,YandexSearch,bot,False
63,Samsung Internet,browser,False
64,Puffin,unknown,False
65,Yandex Browser,browser,True
66,Snapchat,browser,False
67,Whale,browser,False
68,UC Browser,browser,False
69,Instagram,browser,False
70,Crosswalk,browser,False
71,Tenta Browser,browser,False
72,Pinterest,browser,False
73,Amazon Silk,browser,False
74,Flipboard,browser,False
75,Bytespider,bot,False
76,Maxthon,browser,True
77,PetalBot,bot,False
78,Google,bot,False
79,Chromium,browser,False
80,MiuiBrowser,browser,False
81,Mint Browser,browser,False
82,HeadlessChrome,browser,True
83,SeaMonkey,browser,False
84,Waterfox,browser,False
85,Pale Moon,browser,False
86,Apple Mail,browser,False
87,FacebookBot,bot,False
88,Electron,browser,False
89,Iron,browser,False
90,Seznam prohlížeč,unknown,False
91,Applebot,bot,False
92,Vivaldi,browser,False
93,Sleipnir,browser,False
94,WebKit Nightly,browser,False
95,Nokia Browser,browser,False
96,PingdomBot,bot,False
97,Sogou Explorer,browser,True
98,Coc Coc,unknown,False
99,Dragon,browser,False
100,ActiveComplyBot,bot,False
101,Linespider,bot,False
102,Yeti,bot,False
